TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
BOM NO: 05-047034-01-d.csv,,,,,,,,,,,,,,,,,,,
DATE: 02/14/2019,,,,,,,,,,,,,,,,,,,
DESIGN: 02_047034d_top,,,,,,,,,,,,,,,,,,,
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom,,,,,,,,,,,,,,,,,,,
CALLOUT: C:\tmp\20_047034e\worklib\02_047034d_top\bom\047034a.callouts,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
22,1,E001217,DIODE BZX84C 3V ZENER SOT-23, BZX84-C3V0,SOT23,5,3V,N/A,D2,PHILIPS, BZX84-C3V0,REL,ADD_TO_STOCK22,N/A,FEC 738-128,N/A,7003835,?,?
23,1,E027576,DIODE ZENER DUAL TRANSIL ARRAY FOR ESD PROTECTION, ESDA5V3L,SC-59-2,N/A,3V,300W,D3,ST MICROELECTRONICS, ESDA5V3L,REL,N/A,N/A,N/A,N/A,N/A,?,?
24,2,E015362,IND CHIP FERRITE BEAD, 600OHM,L0402,25,N/A,N/A,"E1,E2",MURATA MANUFACTURING, BLM15AX601SN1D,REL,N/A,N/A,N/A,N/A,7005297,?,?
25,1,E021490,IND CHIP FERRITE BEAD, 80OHM AT 100MEGHZ,L0402,25,N/A,N/A,E3,MURATA MANUFACTURING, BLM15PX800SN1D,REL,N/A,N/A,N/A,N/A,N/A,?,?
26,1,E019248,IND CHIP FERRITE BEAD, 600OHM,L0603,25,N/A,N/A,E4,MURATA MANUFACTURING, BLM18AG601SN1D,REL,N/A,N/A,N/A,N/A,N/A,?,?
27,4,E026348,"CONN-PCB 4POS UNSHROUDED HDR 0.40MM SQ POST, 1.27MM PITCH, 3MM POST HEIGHT", 20021121-00004T4LF,CNSMMHDR2X2L100W134H197,N/A,N/A,N/A,"JH1,JH2,JH3,JH5",FCI, 20021121-00004T4LF,REL,N/A,N/A,N/A,N/A,N/A,?,?
28,5,E021754,"CONN-PCB MICRO LOW PROFILE TERM STRIPS, 1.27MM PITCH", FTS-102-01-F-S,CNSAMTECFTS-102-01-F-S,N/A,N/A,N/A,"JH6,JH7,JH8,JH9,JH10",SAMTEC, FTS-102-01-F-S,REL,N/A,N/A,N/A,N/A,N/A,?,?
29,2,E029195,"CONN-PCB 6POS MALE UNSHROUDED HDR DUAL ROW ST,3.00MM POST HEIGHT, 1.27MM PITCH", 20021121-00006C4LF,CNSMMHDR2X3L150W135H193,N/A,N/A,N/A,"JH4,JH11",AMPHENOL FCI, 20021121-00006C4LF,REL,N/A,N/A,N/A,N/A,N/A,?,?
30,1,E024171,IND POWER COIL, 2.2uH,L0806H39,20,N/A,N/A,L2,TDK, MLP2016V2R2MT0S1,REL,N/A,N/A,N/A,N/A,N/A,?,?
31,1,E027295,LED UNI-COLOR YELLOW 585NM WAVELEGTH PEAK, SML-LX0603YW-TR,LED0603-2,N/A,2.2V,N/A,LED1,LUMEX, SML-LX0603YW-TR,REL,N/A,N/A,N/A,N/A,N/A,?,?
32,1,E018702,LED SMD 0603 GREEN, SML-LX0603GW-TR,LED0603-2,N/A,N/A,0.05W,LED2,LUMEX, SML-LX0603GW-TR,REL,N/A,N/A,N/A,N/A,7004208,?,?
33,1,E024742,"LED YELLOW LOW CURRENT, NRND", SML-311YT,LED0603,N/A,1.8V,N/A,MBED,ROHM, SML-311YT,NON-PREF,N/A,N/A,N/A,N/A,N/A,?,?
34,2,E024421,"CONN-PCB HDR 1.27MM PITCH, DUAL ROW ST", 3220-10-0100-00,CNHDR2X5H220_A,N/A,N/A,N/A,"P1,P26",CNC TECH, 3220-10-0100-00,REL,N/A,N/A,N/A,N/A,N/A,?,?
35,1,E024022,CONN HEADER 32POS 3MM SMD 0.5MM, DF12(3.0)-32DP-0.5V(86),CNHDR2X16H91,N/A,N/A,N/A,P2,HIROSE ELECTRIC CO., DF12(3.0)-32DP-0.5V(86),REL,N/A,N/A,N/A,N/A,N/A,?,?
36,1,E023846,CONN-PCB MICROUSB RECEPTACLE, 47346-0001,CNMOLEX47346-0001,N/A,N/A,N/A,P5,MOLEX, 47346-0001,REL,N/A,N/A,N/A,N/A,N/A,?,?
37,1,E028210,"CONN-PCB 2 POS SHROUDED RA HDR DISCONNECTABLE CRIMP STYLE, WIRE-TO-BRD SIDE ENTRY, 2MM PITCH", S2B-PH-SM4-TB(LF)(SN),CNSMMHDRRA1X2L311W299H217,N/A,N/A,N/A,P6,JST, S2B-PH-SM4-TB(LF)(SN),REL,N/A,N/A,N/A,N/A,N/A,?,?
38,1,E023078,CONN-PCB HDR 1.27MM 12POS, M50-3600642,CNHDR2X6H202,N/A,N/A,N/A,P8,HARWIN, M50-3600642,REL,N/A,N/A,N/A,N/A,N/A,?,?
39,2,E019415,LED LOW CURRENT (RED), SML-P11VTT86,LED0402,N/A,N/A,0.050W,"PWR,RSTLED",ROHM, SML-P11VTT86,REL,N/A,N/A,N/A,N/A,N/A,?,?
40,25,E003438,RES CHIP SMD JMPR,0,R0402,5,N/A,N/A,"R1,R10,R14,R26,R27,R29,R30,R36,R39,R41,R42,R45,R48,R52,R53,R54,R55,R60,R62,R63,R65,R66,R67,R72,R75",PANASONIC, ERJ-2GE0R00X,REL,A003-0021-001,N/A,N/A,1138_CAB3,7000282,?,?
41,1,E019768,RES THICK FILM CHIP, 3MEG,R0402,5,N/A,1/10W,R11,PANASONIC, ERJ-2GEJ305X,REL,N/A,N/A,N/A,N/A,N/A,?,?
42,3,E003758,RES PRECISION THICK FILM CHIP,499,R0402,1,N/A,1/16W,"R9,R12,R32",PANASONIC, ERJ-2RKF4990X,REL,A003-0035-012,N/A,N/A,750_CAB3,N/A,?,?
43,2,E020936,RES GEN PURPOSE CHIP, 1K,R0402,5,N/A,1/16W,"R13,R61",YAGEO, RC0402JR-071KL,REL,N/A,N/A,N/A,N/A,N/A,?,?
44,7,E003452,RES PRECISION THICK FILM CHIP,33,R0402,5,N/A,1/10W,"R15,R17,R47,R56,R57,R58,R59",PANASONIC, ERJ-2GEJ330X,REL,A003-0021-016,41816DG861,N/A,N/A,N/A,?,?
46,12,E003464,RES THICK FILM CHIP, 100K,R0402,5,N/A,1/10W,"R2,R3,R4,R5,R6,R7,R8,R18,R21,R33,R38,R69",PANASONIC, ERJ-2GEJ104X,REL,N/A,N/A,N/A,N/A,7005773,?,?
47,1,E003682,RES PRECISION THICK FILM CHIP R0603, 1MEG,R0603,1,N/A,1/10W,R19,PANASONIC, ERJ-3EKF1004V,REL,A003-0032-017,41816DG307,FEC 911-598,N/A,N/A,?,?
48,2,E008190,RES PRECISION THICK FILM CHIP, 4.7K,R0402,1,50V,1/10W,"R20,R34",PANASONIC, ERJ-2RKF4701X,REL,N/A,N/A,N/A,1548_CAB3,7007535,?,?
49,5,E003751,RES PRECISION THICK FILM CHIP, 10K,R0402,1,N/A,1/10W,"R22,R23,R24,R28,R35",PANASONIC, ERJ-2RKF1002X,REL,A003-0035-004,41816DG719,N/A,N/A,7000582,?,?
50,3,E003749,RES PRECISION THICK FILM CHIP, 1MEG,R0402,1,N/A,1/10W,"R25,R49,R71",PANASONIC, ERJ-2RKF1004X,REL,A003-0035-002,N/A,N/A,1686_CAB3,N/A,?,?
53,2,E016329,RES PRECISION THICK FILM CHIP,100,R0402,1,N/A,1/10W,"R46,R82",PANASONIC, ERJ-2RKF1000X,REL,N/A,N/A,N/A,N/A,7005699,?,?
55,1,E018645,RES THICK FILM CHIP,3.9,R0402,5,N/A,1/10W,R70,PANASONIC, ERJ-2GEJ3R9X,REL,N/A,N/A,N/A,N/A,7007154,?,?
56,4,E019640,RES STD THICK FILM CHIP, 10K,R0402,5,N/A,1/16W,"R73,R74,R87,R88",VISHAY, CRCW040210K0JNED,REL,N/A,N/A,N/A,N/A,7000280,?,?
